lemma_Charcot,tfIdf_Charcot,lemma_Autres,tfIdf_Autres
cérébral,1,hypnotisme,1
postérieur,"0,767083574919241",postérieur,"0,706511689340906"
musculaire,"0,700820011596124",circonvolution,"0,593712851670849"
hystérie,"0,689223888014578",somnambule,"0,528926165632017"
tion,"0,668930671746873",lame médullaire,"0,504688944657245"
pathologique,"0,658825478340098",externe,"0,49570730418703"
psychique,"0,594632651370828",hypnotique,"0,49570730418703"
hallucination,"0,58129710925205",cérébral,"0,427420420023775"
atrophie,"0,575416218007123",magnétiseur,"0,421146479989433"
scaphandre,"0,557359397001574",sillon,"0,413683793422269"
paralysie général,"0,530936801126481",atrophie,"0,403909655263506"
société savant,"0,477925950467986",thalamus,"0,393739268260468"
contracture,"0,453077114221817",musculaire,"0,374058908994849"
motrice,"0,452828625859356",hypnose,"0,354246466781139"
tabes,"0,442392114635965",frontal,"0,345396909259015"
écorce,"0,40892901515779",couche sagittal,"0,337537973847576"
charcot,"0,404373395179326",tabes,"0,323999471668208"
externe,"0,378696264391618",scissure,"0,321225729758288"
circonvolution,"0,365857698997764",somnambulisme,"0,30352661471404"
gavardie,"0,365443551726994",infantilisme,"0,299894333641527"
démence,"0,35600099395345",latéral,"0,299299960375116"
spinal,"0,355752505590988",urètre,"0,290450402852992"
système nerveux,"0,350865567795908",capsule interne,"0,289063531898032"
paralytique,"0,348794831442061",ventricule,"0,283317923656056"
frontal,"0,34473618818852",suggestion hypnotique,"0,282657508915599"
urine,"0,342913940197134",noyau caudé,"0,277770439836217"
latéral,"0,339600762030978",hystérie,"0,272421080438515"
guérison,"0,33496231259836",potet,"0,269383172632413"
membre inférieur,"0,331897622794666",membre inférieur,"0,263307357020209"
convulsion,"0,331400646069742",dorsal,"0,254325716549994"
pathologie nerveux,"0,328335956266048",guérison,"0,253929467705719"
délirant,"0,320053010850659",corps calleux,"0,252212389380531"
héréditaire,"0,318893398492504",osseux,"0,247985735041606"
syphilis,"0,311604406526961",contracture,"0,24547615902787"
cortical,"0,301002236395262",noyau lenticulaire,"0,244617619865275"
hémisphère,"0,287252547005715",hémisphère,"0,24316470743627"
tions,"0,286258593555868",cérébelleux,"0,242372209747722"
facial,"0,285595957922637",psychique,"0,240721172896579"
