lemma,tfIdf_Charcot,tfIdf_Autres
abdomen,0.0242690300670919,0.0605600316999076
abdominal,0.0437339517932577,0.0922599392418439
ablation,0.0242690300670919,0.0155197464007397
analogue,0.236146773792761,0.154669132215031
antécédent héréditaire,0.0533421684751098,0.0312376172236164
antécédent personnel,0.013666859935393,0.0114912164839519
aorte,0.0645241447858859,0.0306432439572051
aphasie,0.172202435185952,0.0587108704266279
apophyse,0.00207073635384743,0.106921146479989
apoplexie,0.0262569369667854,0.033549068815216
appréciable,0.0738838731052763,0.0415400871747457
arch,0.065186780419117,0.047219653942676
artériel,0.066015074960656,0.0272751287808744
ataxie,0.198045224881968,0.0674943864747061
atrophie,0.575416218007123,0.403909655263506
auditif,0.108258096579144,0.0483423590014529
bilatéral,0.0718959662055827,0.0560692114647999
brachial,0.0396753085397167,0.0415400871747457
brissaud,0.045887517601259,0.0879672434288733
broca,0.0124244181230846,0.0393607185312376
bromure,0.0864739501366686,0.0426627922335227
bulbaire,0.0599685248074215,0.126073173953243
bulbe,0.128882630663464,0.127460044908202
cachexie,0.0366106187360225,0.0253599260335491
caillot,0.0312267042160192,0.0416061286487915
capsule interne,0.0722272840221983,0.289063531898032
catalepsie,0.0702393771225048,0.0633998150838727
cavité,0.133852397912698,0.206709813763043
cellulaire,0.132775615008697,0.122110685510501
cellule nerveux,0.175681272260416,0.0661735569937921
celte,0.0919406941108258,0.131554616299036
cervelet,0.134349374637621,0.195152555805046
cervical,0.185289488942268,0.152555805045569
champ visuel,0.132444297192081,0.042596750759477
charcot,0.404373395179326,0.190859859992075
chiasma,0.00935972831939038,0.0237749306564523
circonvolution,0.365857698997764,0.593712851670849
clonique,0.0379358900024849,0.0105005943732664
collatéral,0.0345398823821751,0.0491348566900013
coloration,0.11413898782407,0.0893541143838331
conduit,0.0173941853723184,0.0148593316602827
congestion,0.0479582539551064,0.0294544974243825
conjonctif,0.102708523150832,0.113855501254788
contraction,0.22869212291891,0.217342491084401
contracture,0.453077114221817,0.24547615902787
convulsif,0.241779176675226,0.0719852067098138
convulsion,0.331400646069742,0.183859463743231
cordon latéral,0.0601341837157293,0.0364548936732268
corps calleux,0.0769485629089704,0.252212389380531
cortical,0.301002236395262,0.106392814687624
couche optique,0.0832436014246666,0.158037247391362
crampe,0.0188022860929347,0.0733720776647735
crural,0.00612937960738839,0.0299167877427024
cubital,0.0444794168806428,0.0914674415532955
cutané,0.19299262817858,0.142451459516576
cylindre,0.0362793009194069,0.0181614053625677
cérébelleux,0.111736933653607,0.242372209747722
cérébral,1.0,0.427420420023775
diarrhée,0.0152406195643171,0.0297186633205653
digestif,0.0309782158535575,0.0145951657640999
dorsal,0.23167398326845,0.254325716549994
dure-mère,0.066015074960656,0.0989301281204597
défectueux,0.0183881388221652,0.00171707832518822
déglutition,0.0210386813550899,0.00838726720380399
délirant,0.320053010850659,0.0116232994320433
déviation,0.0633645324277313,0.0886276581693303
estomac,0.101963058063447,0.0971470083212257
exagération,0.114470305640686,0.047880068683133
exagéré,0.00513542615754162,0.0
extenseur,0.0457218586929512,0.102364284770836
externe,0.378696264391618,0.49570730418703
face interne,0.024931665700323,0.116166952846388
facial,0.285595957922637,0.116695284638753
