#	type	rank	key	lemma	dFreq	pattern	pilot	spec	freq	ind	iFreq	tfIdf
1	T	1	a: maniaque	maniaque	60	A	maniaque	3.75	1033	0.47	484	17.22
2	T	2	a: somatique	somatique	60	A	somatiques	3.52	608	0.33	199	10.13
3	T	3	n: aorte	aorte	53	N	aorte	3.54	636	0.57	363	12.00
4	T	4	na: tumeur cérébral	tumeur cérébral	55	N A	tumeur cérébrale	3.21	300	0.68	203	5.45
5	T	5	n: vésicule	vésicule	47	N	vésicule	3.24	319	0.39	125	6.79
6	T	6	a: morbide	morbide	68	A	morbide	4.15	2579	0.26	669	37.93
7	T	7	n: terminaison	terminaison	67	N	terminaison	3.28	700	0.43	301	10.45
8	T	8	n: hypnotisme	hypnotisme	60	N	hypnotisme	3.26	1654	0.67	1105	27.57
9	T	9	a: thyroïde	thyroïde	51	A	thyroïde	3.23	939	0.14	135	18.41
10	T	10	n: paraplégie	paraplégie	66	N	paraplégie	3.37	1299	0.35	455	19.68
11	T	11	a: auditif	auditif	64	A	auditif	3.48	1106	0.27	294	17.28
12	T	12	a: graisseux	graisseux	60	A	graisseuse	3.45	513	0.24	122	8.55
13	T	13	n: myosis	myosis	52	N	myosis	3.16	267	0.81	217	5.13
14	T	14	na: partie supérieur	partie supérieur	67	N A	partie supérieure	3.20	580	0.71	414	8.66
15	T	15	a: dégénératif	dégénératif	57	A	dégénérative	3.25	651	0.28	185	11.42
16	T	16	a: cutané	cutané	68	A	cutanée	4.01	1871	0.23	437	27.51
17	T	17	n: chorée	chorée	66	N	chorée	3.45	1547	0.41	634	23.44
18	T	18	na: atrophie musculaire	atrophie musculaire	64	N A	atrophie musculaire	3.50	1167	0.56	658	18.23
19	T	19	n: urée	urée	45	N	urée	3.40	457	0.49	225	10.16
20	T	20	n: prodrome	prodrome	61	N	prodromes	3.16	262	0.84	220	4.30
21	T	21	a: sensitif	sensitif	65	A	sensitifs	3.97	1691	0.29	493	26.02
22	T	22	n: pie-mère	pie-mère	62	N	pie-mère	3.31	747	0.69	513	12.05
23	T	23	n: contracture	contracture	67	N	contracture	3.38	3947	0.48	1885	58.91
24	T	24	n: névrose	névrose	65	N	névrose	3.39	1790	0.54	967	27.54
25	T	25	n: bromure	bromure	63	N	bromure	3.40	923	0.28	257	14.65
26	T	26	n: broca	broca	58	N	Broca	3.26	331	0.64	211	5.71
27	T	27	a: occipital	occipital	61	A	occipital	3.44	1512	0.17	264	24.79
28	T	28	n: hospice	hospice	67	N	hospice	3.82	1224	0.49	594	18.27
29	T	29	n: lysie	lysie	56	N	lysie	3.45	520	0.33	172	9.29
30	T	30	a: paternel	paternel	61	A	paternel	3.48	553	0.14	76	9.07
31	T	31	n: extenseur	extenseur	56	N	extenseurs	3.17	545	0.53	290	9.73
32	T	32	a: occasionnel	occasionnel	63	A	occasionnelle	3.23	308	0.17	53	4.89
33	T	33	n: cation	cation	57	N	cation	3.47	537	0.86	462	9.42
34	T	34	n: tubercule	tubercule	65	N	tubercules	3.31	1130	0.31	352	17.38
35	T	35	n: névrite	névrite	63	N	névrite	3.70	1822	0.29	526	28.92
36	T	36	n: cachexie	cachexie	54	N	cachexie	3.41	466	0.39	181	8.63
37	T	37	a: ataxique	ataxique	59	A	ataxique	3.30	729	0.74	537	12.36
38	T	38	a: olfactif	olfactif	51	A	olfactif	3.19	563	0.32	179	11.04
39	T	39	na: asile spécial	asile spécial	45	N A	asile spécial	3.16	265	0.89	236	5.89
40	T	40	a: laryngé	laryngé	56	A	laryngé	3.36	415	0.31	127	7.41
41	T	41	n: syllabe	syllabe	54	N	syllabes	3.17	271	0.77	208	5.02
42	T	42	a: bilatéral	bilatéral	62	A	bilatérale	3.34	799	0.48	382	12.89
43	T	43	n: méningite	méningite	65	N	méningite	3.51	1184	0.36	421	18.22
44	T	44	n: exagération	exagération	67	N	exagération	3.52	1208	0.38	456	18.03
45	T	45	a: intestinal	intestinal	59	A	intestinale	3.20	287	0.54	156	4.86
46	T	46	a: granuleux	granuleux	65	A	granuleux	3.35	811	0.34	275	12.48
47	T	47	n: bulbe	bulbe	66	N	bulbe	3.85	1305	0.69	901	19.77
48	T	48	n: tégument	tégument	58	N	téguments	3.25	323	0.48	155	5.57
49	T	49	n: richer	richer	46	N	Richer	3.17	273	0.99	271	5.93
50	T	50	n: pitre	pitre	63	N	Pitres	3.58	702	0.87	610	11.14
51	T	51	n: névroglie	névroglie	58	N	névroglie	3.30	725	0.55	398	12.50
52	T	52	a: tuberculeux	tuberculeux	61	A	tuberculeuse	3.29	1060	0.43	452	17.38
53	T	53	n: papille	papille	64	N	papille	3.52	611	0.52	318	9.55
54	T	54	a: cubital	cubital	60	A	cubital	3.20	575	0.48	277	9.58
55	T	55	a: purulent	purulent	50	A	purulente	3.16	266	0.42	113	5.32
56	T	56	n: xiii	xiii	66	N	XIII	3.42	477	0.98	469	7.23
57	T	57	na: partie antérieur	partie antérieur	65	N A	partie antérieure	3.37	432	0.71	305	6.65
58	T	58	n: pupille	pupille	65	N	pupilles	4.00	1840	0.43	794	28.31
59	T	59	n: lement	lement	58	N	lement	3.30	729	0.91	664	12.57
60	T	60	n: cavité	cavité	68	N	cavité	3.88	1385	0.38	528	20.37
61	T	61	n: testicule	testicule	56	N	testicules	3.20	290	0.54	158	5.18
62	T	62	n: tère	tère	58	N	tère	3.28	350	0.70	245	6.03
63	T	63	a: urinaire	urinaire	59	A	urinaire	3.47	543	0.22	117	9.20
64	T	64	n: xxii	xxii	61	N	XXII	3.25	326	1.00	326	5.34
65	T	65	n: xvii	xvii	61	N	XVII	3.36	421	1.00	420	6.90
66	T	66	n: vement	vement	57	N	vement	3.23	308	0.86	266	5.40
67	T	67	n: renflement	renflement	63	N	renflement	3.40	455	0.18	83	7.22
68	T	68	na: substance blanc	substance blanc	64	N A	substance blanche	3.26	999	0.75	754	15.61
69	T	69	n: lepsie	lepsie	59	N	lepsie	3.21	295	0.82	243	5.00
70	T	70	n: tation	tation	56	N	tation	3.47	536	0.78	419	9.57
71	T	71	n: miction	miction	61	N	miction	3.29	355	0.46	163	5.82
72	T	72	n: odorat	odorat	63	N	odorat	3.52	605	0.75	456	9.60
73	T	73	na: pathologie nerveux	pathologie nerveux	61	N A	PATHOLOGIE NERVEUSE	3.69	2675	0.68	1831	43.85
74	T	74	a: latent	latent	65	A	latente	3.40	462	0.64	297	7.11
75	T	75	na: physiologie pathologique	physiologie pathologique	66	N A	PHYSIOLOGIE PATHOLOGIQUES	3.29	1770	0.97	1714	26.82
76	T	76	n: charité	charité	63	N	Charité	3.24	317	0.41	131	5.03
77	T	77	n: charcot	charcot	68	N	Charcot	3.69	3606	0.94	3381	53.03
78	T	78	a: collatéral	collatéral	58	A	collatérales	3.42	486	0.64	310	8.38
79	T	79	n: abdomen	abdomen	63	N	abdomen	3.39	450	0.74	335	7.14
80	T	80	a: transitoire	transitoire	65	A	transitoire	3.22	919	0.41	376	14.14
81	T	81	na: face interne	face interne	64	N A	face interne	3.40	462	0.77	355	7.22
82	T	82	n: inflammation	inflammation	66	N	inflammation	3.17	806	0.46	370	12.21
83	T	83	naa: système nerveux central	système nerveux central	59	N A A	système nerveux central	3.43	488	0.75	365	8.27
84	T	84	n: basedow	basedow	46	N	Basedow	3.30	365	0.11	39	7.93
85	T	85	npn: idée de grandeur	idée de grandeur	49	N P N	idées de grandeur	3.16	265	0.73	194	5.41
86	T	86	na: clinique mental	clinique mental	43	N A	CLINIQUE MENTALE	3.69	888	0.99	879	20.65
87	T	87	n: neurone	neurone	27	N	neurones	3.73	994	0.43	425	36.81
88	T	88	n: kyste	kyste	61	N	kystes	3.55	643	0.45	287	10.54
89	T	89	a: spinal	spinal	68	A	spinale	4.24	3207	0.22	721	47.16
90	T	90	n: immersion	immersion	30	N	immersion	3.30	364	0.63	230	12.13
91	T	91	a: cérébelleux	cérébelleux	61	A	cérébelleux	3.47	1080	0.25	273	17.70
92	T	92	n: saillie	saillie	64	N	saillie	3.48	548	0.67	367	8.56
93	T	93	n: anévrisme	anévrisme	23	N	anévrismes	3.20	289	0.48	139	12.57
94	T	94	a: pathologique	pathologique	68	A	pathologique	3.79	5695	0.21	1177	83.75
95	T	95	a: psychique	psychique	61	A	psychique	4.40	4636	0.26	1219	76.00
96	T	96	n: varia	varia	54	N	VARIA	3.77	1091	0.96	1051	20.20
97	T	97	n: palpitation	palpitation	61	N	palpitations	3.17	268	0.68	182	4.39
98	T	98	na: côté gauche	côté gauche	66	N A	côté gauche	3.22	1814	0.79	1427	27.48
99	T	99	n: gâtisme	gâtisme	46	N	gâtisme	3.16	262	0.84	220	5.70
100	T	100	a: psychiatrique	psychiatrique	54	A	psychiatrique	3.51	595	0.20	121	11.02
101	T	101	a: nasal	nasal	62	A	nasale	3.23	313	0.32	101	5.05
102	T	102	n: plexus	plexus	65	N	plexus	3.61	752	0.15	114	11.57
103	T	103	n: internement	internement	53	N	internement	3.49	571	0.71	407	10.77
